1001,Silvio Urbano Nadal Pera,385-20-43911 ,017-77-82639 ,alejandro34@nearbpo.com,Empresa 01,Aguascalientes
1002,Leonel Barón-Iniesta, 636-41-35497 ,,amalia.orosco@corpfolder.com,Empresa 02,Baja California
1003,Darío Azcona, 530-69-61904 , 301-11-39330 ,leticia_tirado@yahoo.com,Empresa 03,Baja California Sur
1004,Jose Danilo Aramburu Carbó, 668-09-72108 , 172-90-82967 ,elisa_montero@nearbpo.com,Empresa 04,Campeche
1005,Raimundo Peinado Reina, 637-09-10695 , 258-08-83486 ,martin98@yahoo.com,Empresa 05,Chiapas
1006,Agustín Ibáñez, 029-73-98864 , 087-47-18769 ,carla65@yahoo.com,Empresa 06,Chihuahua
1007,Estefanía Fuertes Jaume, 544-27-62619 , 985-81-54957 ,guillermina55@nearbpo.com,Empresa 07,Ciudad de México
1008,Hortensia Lilia Sierra Rovira, 808-90-59659 , 372-20-61722 ,marisol52@corpfolder.com,Empresa 08,Coahuila
1009,Amor Pinedo Losa, 562-44-01856 , 964-05-17476 ,carolina74@hotmail.com,Empresa 09,Colima
1010,Luis Ángel Ferrer Chacón, 080-61-67165 ,,damian.lomeli40@hotmail.com,Empresa 10,Durango
1011,Carmela del Saez, 553-04-95480 , 995-60-39298 ,reina21@nearbpo.com,Empresa 11,Guanajuato
1012,Alexandra Abascal Campos, 155-26-48378 , 395-56-92325 ,juanpablo.cardona@gmail.com,Empresa 12,Guerrero
1013,Celestina Caro Cuadrado, 844-52-51876 , 637-06-47387 ,mariadelcarmen.zamarreno@yahoo.com,Empresa 13,Hidalgo
1014,Celso Herranz Conesa, 069-02-39341 , 344-73-66269 ,reina_guzman0@yahoo.com,Empresa 14,Jalisco
1015,Dolores Verdú Manuel, 935-31-81019 , 258-17-24201 ,mariaguadalupe.carmona19@gmail.com,Empresa 15,México
1016,Pacífica Terrón Valero, 547-16-59390 , 712-19-60694 ,carmen.kardachesoto@gmail.com,Empresa 16,Michoacán
1017,Jorge Gabino Ros Tomas, 802-20-66256 ,,victor_chavarria91@hotmail.com,Empresa 17,Morelos
1018,Teófila Marquez Pizarro, 097-90-70026 , 810-15-31698 ,arturo53@hotmail.com,Empresa 18,Nayarit
1019,Emilio Linares Pérez, 072-56-55654 , 207-91-48552 ,monserrat4@yahoo.com,Empresa 19,Nuevo León
1020,Adriana Valenciano-Conde, 868-43-09950 , 125-80-38967 ,antonio.quezada@corpfolder.com,Empresa 20,Oaxaca
1021,Samanta Salvà Jara, 399-10-04654 , 786-19-31813 ,israel39@hotmail.com,Empresa 21,Puebla
1022,Julia del Alemany, 700-36-78047 , 830-31-68330 ,ramona91@yahoo.com,Empresa 22,Querétaro
1023,Cipriano Caballero Mendoza, 220-21-08292 , 997-27-79586 ,enrique36@yahoo.com,Empresa 23,Quintana Roo
1024,Víctor del Martinez, 942-98-95342 , 573-89-10319 ,miguelangel.pulido1@hotmail.com,Empresa 24,San Luis Potosí
1025,María Del Carmen Bernad Blasco, 560-25-17289 , 127-81-12181 ,claudio5@corpfolder.com,Empresa 25,Sinaloa
1026,Calista Diéguez Clemente, 926-91-89408 ,,jennifer_madera30@nearbpo.com,Empresa 26,Sonora
1027,Lola Teresita Esteban Serna, 377-33-17652 , 056-15-03565 ,miguelangel.xicoy@corpfolder.com,Empresa 27,Tabasco
